,Config,Cosine,Heading,Rank
0,Rhel8|DL560 Gen9|B140i|,0.35355339059327373,Config-1,0
1,Rhel8|DL560 Gen9|P840ar|,0.35355339059327373,Config-2,0
18,Rhel8|ML350 Gen9|P840|,0.35355339059327373,Config-19,0
17,Rhel8|ML350 Gen9|P440|,0.35355339059327373,Config-18,0
16,Rhel8|ML350 Gen9|P840ar|,0.35355339059327373,Config-17,0
15,Rhel8|ML350 Gen9|B140i|,0.35355339059327373,Config-16,0
14,Rhel8|DL380 Gen9 |P441|,0.35355339059327373,Config-15,0
13,Rhel8|DL380 Gen9 |P840|,0.35355339059327373,Config-14,0
12,Rhel8|DL380 Gen9 |P440|,0.35355339059327373,Config-13,0
11,Rhel8|DL380 Gen9 |P840ar|,0.35355339059327373,Config-12,0
10,Rhel8|DL380 Gen9 |B140i|,0.35355339059327373,Config-11,0
9,Rhel8|DL360 Gen9 |P441|,0.35355339059327373,Config-10,0
8,Rhel8|DL360 Gen9 |P840|,0.35355339059327373,Config-9,0
7,Rhel8|DL360 Gen9 |P440|,0.35355339059327373,Config-8,0
6,Rhel8|DL360 Gen9 |P840ar|,0.35355339059327373,Config-7,0
5,Rhel8|DL360 Gen9 |B140i|,0.35355339059327373,Config-6,0
4,Rhel8|DL560 Gen9|P441|,0.35355339059327373,Config-5,0
3,Rhel8|DL560 Gen9|P840|,0.35355339059327373,Config-4,0
2,Rhel8|DL560 Gen9|P440|,0.35355339059327373,Config-3,0
19,Rhel8|ML350 Gen9|P441|,0.35355339059327373,Config-20,0
